stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"206722","Chatswood Station, Stand D","-33.796195","151.180986","","","1",""
"206723","Victoria Ave after Penshurst St","-33.792632","151.195096","","","1",""
"206724","Mashman Park, Victoria Ave","-33.79384","151.191294","","","1",""
"206726","Victoria Ave opp Chatswood Chase Sydney","-33.795303","151.186545","","","1",""
"206730","The Concourse, Victoria Ave","-33.795885","151.184279","","","1",""
"206731","Chatswood Chase Sydney, Victoria Ave","-33.795321","151.185973","","","1",""
"206732","Victoria Ave at Baldry St","-33.794245","151.189441","","","1",""
"206733","Victoria Ave at Macquarie St","-33.793499","151.191853","","","1",""
"206734","Victoria Ave at Royal St","-33.792626","151.194605","","","1",""
"206746","Pacific Hwy at Gordon Ave","-33.802404","151.17964","","","1",""
"206747","Pacific Hwy before Mowbray Rd","-33.804889","151.179403","","","1",""
"206748","High St opp Harwood Ave","-33.790723","151.198339","","","1",""
"206749","High St at Smith St","-33.78741","151.196842","","","1",""
"206750","Smith St after Lower Gibbes St","-33.786729","151.198325","","","1",""
"206751","Smith St at Lower Gibbes St","-33.786505","151.198459","","","1",""
"206752","High St opp Smith St","-33.787471","151.196668","","","1",""
"206755","High St at Haig St","-33.789976","151.197814","","","1",""
"206756","High St at Harwood Ave","-33.790965","151.198236","","","1",""
"206758","Chatswood Business Park, Eastern Valley Way","-33.785311","151.200698","","","1",""
"206762","Pacific Hwy at Ellis St","-33.800286","151.179526","","","1",""
"206788","Westfield Chatswood, Victoria Ave","-33.796147","151.183636","","","1",""
"206795","Victoria Ave at High St","-33.791671","151.198214","","","1",""
"206811","Eastern Valley Way at Victoria Ave","-33.791632","151.206841","","","1",""
"206812","288 Eastern Valley Way","-33.78915","151.20655","","","1",""
"206813","Eastern Valley Way opp 323","-33.788284","151.204239","","","1",""
"206814","Warrane Reserve, Eastern Valley Way","-33.787787","151.201873","","","1",""
"206815","The Willis Recreation & Sports Centre, Eastern Valley Way","-33.787784","151.202076","","","1",""
"206816","323 Eastern Valley Way","-33.788125","151.204303","","","1",""
"206817","295 Eastern Valley Way","-33.788753","151.206322","","","1",""
"206818","Eastern Valley Way opp Victoria Ave","-33.791234","151.207152","","","1",""
"206826","Eastern Valley Way opp McClelland St","-33.795148","151.208636","","","1",""
"206827","Eastern Valley Way opp Robert St","-33.797698","151.209687","","","1",""
"206828","Eastern Valley Way after Sunnyside Cres","-33.800275","151.210811","","","1",""
"206829","Eastern Valley Way at Edinburgh Rd","-33.802198","151.211643","","","1",""
"206830","Edinburgh Rd at Raeburn Ave","-33.802318","151.212451","","","1",""
"206832","Glenaeon Rudolf Steiner School, Edinburgh Rd","-33.801803","151.216102","","","1",""
"206833","Edinburgh Rd at Sunnyside Cres","-33.799959","151.218311","","","1",""
"206834","209 Edinburgh Rd","-33.799145","151.221871","","","1",""
"206835","Edinburgh Rd at Linden Way","-33.798712","151.22678","","","1",""
"206836","208 Edinburgh Rd","-33.799274","151.222117","","","1",""
"206837","Edinburgh Rd opp Sunnyside Cres","-33.800086","151.218395","","","1",""
"206838","Castlecrag Private Hospital, Edinburgh Rd","-33.801524","151.216799","","","1",""
"206839","Edinburgh Rd opp Glenaeon Rudolf Steiner School","-33.802125","151.215944","","","1",""
"206840","Edinburgh Rd opp Charles St","-33.802452","151.214835","","","1",""
"206841","Edinburgh Rd at Eastern Valley Way","-33.802467","151.212015","","","1",""
"206842","Eastern Valley Way before Morotai Cres","-33.804168","151.210299","","","1",""
"206843","Eastern Valley Way before Warners Ave","-33.80409","151.210073","","","1",""
"206844","Eastern Valley Way at Edinburgh Rd","-33.8021","151.211323","","","1",""
"206845","Eastern Valley Way before Sunnyside Cres","-33.800222","151.21057","","","1",""
"206846","Eastern Valley Way at Robert St","-33.797728","151.209478","","","1",""
"206847","Eastern Valley Way at McClelland St","-33.795051","151.208206","","","1",""
"206852","Penshurst St after MacMahon St","-33.793827","151.196212","","","1",""
"206853","Penshurst St opp Church St","-33.795897","151.197141","","","1",""
"206854","Penshurst St at Forsyth St","-33.797513","151.197885","","","1",""
"206855","Penshurst St at Rosewall St","-33.798809","151.198462","","","1",""
"206856","Laurel Bank Cottage, Penshurst St","-33.800748","151.198863","","","1",""
"206857","Penshurst St before Mowbray Rd","-33.802777","151.198463","","","1",""
"206877","Willoughby Rd at Hudson Ave","-33.804833","151.199404","","","1",""
"206878","Willoughby Rd opp Julian St","-33.806708","151.199354","","","1",""
"206879","Willoughby Rd at Small St","-33.810412","151.199597","","","1",""
"206881","Willoughby Rd at Armstrong St","-33.810178","151.199356","","","1",""
"206882","Willoughby Rd at Julian St","-33.806511","151.199165","","","1",""
"206883","Willoughby Rd before Mowbray Rd","-33.803932","151.199401","","","1",""
"206884","Penshurst St after Mowbray Rd","-33.802563","151.198319","","","1",""
"206885","Penshurst St opp Laurel Bank Cottage","-33.800787","151.19867","","","1",""
"206886","Penshurst St at Lea Ave","-33.799372","151.198522","","","1",""
"206887","Penshurst St at Forsyth St","-33.797777","151.197813","","","1",""
"206888","Penshurst St at Church St","-33.795898","151.196961","","","1",""
"206889","Penshurst St opp MacMahon St","-33.793966","151.196098","","","1",""
"206911","Eastern Valley Way opp Deepwater Rd","-33.783849","151.199218","","","1",""
"206912","Clive St opp Malvern Ave","-33.781448","151.196125","","","1",""
"206917","Archbold Rd at Roseville Ave","-33.779096","151.185293","","","1",""
"206918","Archbold Rd before Clanville Rd","-33.776963","151.183589","","","1",""
"206919","Archbold Rd after Clanville Rd","-33.775946","151.182795","","","1",""
"206920","Archbold Rd opp Dudley Ave","-33.77735","151.184127","","","1",""
"206921","Archbold Rd at Earl St","-33.77933","151.185727","","","1",""
"206922","Earl St opp Oroya Pde","-33.778886","151.188189","","","1",""
"206923","Earl St before Moore St","-33.778242","151.190231","","","1",""
"206925","Addison Ave at Babbage Rd","-33.779348","151.194959","","","1",""
"206926","Clive St at Malvern Ave","-33.781526","151.196544","","","1",""
"206927","Eastern Valley Way at Deepwater Rd","-33.783614","151.199297","","","1",""
"206928","Eastern Valley Way opp Smith St","-33.785953","151.201283","","","1",""
"206933","Addison Ave after Babbage Rd","-33.779542","151.194843","","","1",""
"206960","Addison Ave at Moore St","-33.780423","151.192021","","","1",""
"206962","Roseville Public School, Addison Ave","-33.781697","151.187851","","","1",""
"206965","Addison Ave at Moore St","-33.780253","151.192068","","","1",""
"206966","Babbage Rd at Park Ave","-33.778626","151.194931","","","1",""
"206967","Roseville Scout Group, Warringah Rd","-33.775005","151.198089","","","1",""
"206968","Warringah Rd before Babbage Rd","-33.775231","151.198317","","","1",""
"206969","Babbage Rd at Allan St","-33.779103","151.195472","","","1",""
"207011","Archbold Rd before Chelmsford Rd","-33.775074","151.182126","","","1",""
"207012","Archbold Rd after Chelmsford Rd","-33.773882","151.181186","","","1",""
"207026","Adelaide Ave after Melbourne Rd","-33.769762","151.186296","","","1",""
"207028","Adelaide Ave before Sydney Rd","-33.771091","151.184119","","","1",""
"207031","Archbold Rd after Middle Harbour Rd","-33.773755","151.18132","","","1",""
"207032","Archbold Rd before Woodlands Rd","-33.774865","151.18217","","","1",""
"207033","Archbold Rd after Woodlands Rd","-33.775824","151.182918","","","1",""
"207066","Owen St at Archbold Rd","-33.772007","151.180172","","","1",""
"207067","Owen St before Sydney Rd","-33.770896","151.182572","","","1",""
"207068","Tryon Rd at Loombah Ave","-33.76937","151.182438","","","1",""
"207069","Lindfield East Public School, Tryon Rd","-33.767849","151.184924","","","1",""
"207070","East Lindfield Community Hall, Crana Ave","-33.767874","151.186941","","","1",""
"207083","Owen St at Sydney Rd","-33.770937","151.182738","","","1",""
"207084","Owen St at Archbold Rd","-33.772112","151.18023","","","1",""
"208612","Aquatic Dr at Madison Way","-33.755485","151.239341","","","1",""
"208613","Warringah Aquatic Centre, Access Rd","-33.755848","151.236066","","","1",""
"208614","Aquatic Dr opp Madison Way","-33.755346","151.239468","","","1",""
"208615","Allambie Rd before Warringah Rd","-33.753086","151.243489","","","1",""
"208616","Allambie Rd at Frenchs Forest Rd","-33.751434","151.243851","","","1",""
"208617","Skyline Shops, Frenchs Forest Rd E","-33.751281","151.244666","","","1",""
"208618","Iris St opp Karabah Pl","-33.749396","151.247198","","","1",""
"208619","Iris St at Patanga Rd","-33.74897","151.244423","","","1",""
"208620","Allambie Rd after Frenchs Forest Rd","-33.751696","151.243988","","","1",""
"208621","Patanga Park, Patanga Rd","-33.750454","151.243856","","","1",""
"208622","Patanga Rd at Iris St","-33.749116","151.244112","","","1",""
"208623","Frenchs Forest Public School, Sorlie Pl","-33.751","151.224","","","1",""
"208624","Paxton St after Iris St","-33.748156","151.242551","","","1",""
"208625","Paxton St at Valley View Way","-33.745766","151.243035","","","1",""
"208626","Paxton St at Poulton Pde","-33.745616","151.243223","","","1",""
"208627","Paxton St before Iris St","-33.748215","151.242732","","","1",""
"208628","Iris St opp Patanga Rd","-33.748778","151.244002","","","1",""
"208629","Iris St at Karabah Pl","-33.749221","151.246935","","","1",""
"208630","Wakehurst Pwy at Yarraman Ave Walkway","-33.759253","151.232682","","","1",""
"208633","Frenchs Forest Rd opp Cobb St","-33.748978","151.227727","","","1",""
"208636","Frenchs Forest Rd opp Nth Beaches Hospital","-33.749532","151.23243","","","1",""
"208637","Wakehurst Pwy after Frenchs Forest Rd","-33.750928","151.234976","","","1",""
"208638","Wakehurst Pkwy after Warringah Rd","-33.753","151.234433","","","1",""
"208639","Frenchs Forest Rd opp Skyline Pl","-33.750237","151.237457","","","1",""
